,indice,r_ambiente,r_usd,r_metros2,r_frente,r_contrafrente,r_expensas,r_garage,r_amenities
13921,12900,,,1000,,,,1.0,1.0
13922,12901,,,450,,,,1.0,1.0
13924,12902,,,922,1.0,1.0,,1.0,1.0
13925,12903,,,790,,,,,1.0
13926,12904,2.0,,,,,,,1.0
13927,12905,1.0,,120,1.0,,,1.0,1.0
13928,12906,,,90,,,,,1.0
13929,12907,,,80,,,,1.0,1.0
13930,12908,,,,,,1.0,,
13931,12909,8.0,220,220,,,,,
13932,12910,2.0,50000,42,,,,,
13934,12911,,140000,,,,,1.0,1.0
13935,12912,3.0,,,,,,,
13936,12913,2.0,52000,,,,1.0,,1.0
13937,12914,,20000,,,,,,
13938,12915,3.0,,,,,,,
13939,12916,2.0,57000,42,,,,1.0,1.0
13941,12917,3.0,140000,,1.0,,,1.0,1.0
13942,12918,,120.000,,,,,,
13943,12919,1.0,,,,,,,
13944,12920,2.0,,,1.0,,,,
13945,12921,3.0,,,1.0,,,1.0,1.0
13946,12922,,,,,,1.0,,
13947,12923,3.0,,70,1.0,,,1.0,1.0
13949,12924,,,100,,,,1.0,1.0
13951,12925,3.0,,65,1.0,1.0,1.0,1.0,1.0
13952,12926,2.0,61.000,40,,,,,
13953,12927,1.0,,30,,,,,
13954,12928,,,17,,,,1.0,1.0
13955,12929,4.0,,,,,,,
13956,12930,,,137,,,,1.0,1.0
13957,12931,,,120,,,,1.0,1.0
13958,12932,2.0,,45,,,,,
13959,12933,,,,,,,,
13960,12934,,,,1.0,1.0,,1.0,1.0
13961,12935,,,,1.0,1.0,,,
13962,12936,,,,,,,,1.0
13963,12937,1.0,,,,,,,
13964,12938,,,,,,,,
13965,12939,,,,,,1.0,,
13966,12940,2.0,,,,,,,
13967,12941,3.0,,,,,1.0,,1.0
13968,12942,,,55,,,,1.0,1.0
13969,12943,1.0,,,1.0,,,,
13970,12944,3.0,,,,,,,1.0
13971,12945,4.0,,,1.0,,,1.0,1.0
13972,12946,3.0,,,,,,1.0,1.0
13973,12947,2.0,,47,,,,,
13974,12948,1.0,,,,,,,
13975,12949,,,480,,,,,
13976,12950,,,,,,,,
13978,12951,2.0,108.000,45,1.0,,,1.0,1.0
13980,12952,2.0,110.000,45,1.0,,,1.0,1.0
13981,12953,,,,,,,,
13982,12954,,,,,,,,
13983,12955,,,,,,,,
13984,12956,,,,,,,,
13985,12957,,,,,,,,
13986,12958,,,,,,,,
13987,12959,,,,,,,,
13988,12960,,,,,,,,
13989,12961,,,,,,,,
13990,12962,,,,,,,,
13991,12963,,,,,,,,
13992,12964,,,,,,,,
13993,12965,,,,,,,,
13994,12966,,,,,,,,
13995,12967,,,,,,,,
13996,12968,,,,,,,1.0,1.0
13997,12969,,,,,,,,
13998,12970,,,,,,,,
13999,12971,,,,,,,,
14000,12972,,,,,,,,
14001,12973,,,,,,,,
14002,12974,,,,,,,,
14003,12975,,,,,,,,
14004,12976,,,,1.0,,,,
14005,12977,,,,,,,,
14006,12978,,,,,,,,
14007,12979,,,,,,,,1.0
14008,12980,,,,,,,,
14009,12981,,,,,,,1.0,1.0
14010,12982,,,,,,,1.0,1.0
14011,12983,,,750,1.0,,,,1.0
14012,12984,,,,,,,1.0,1.0
14013,12985,4.0,,,,,,1.0,1.0
14014,12986,,,100,1.0,,,,
14015,12987,3.0,,,1.0,,,,1.0
14016,12988,,,,,,,,
14017,12989,,,,,,,1.0,1.0
14018,12990,,,,1.0,,,,1.0
14019,12991,,,,,,,,
14020,12992,,,,,,,,
14021,12993,,,227,1.0,,,,
14022,12994,,,,,,,,
14023,12995,,,,,,,,
14024,12996,,,,,,,,
14025,12997,,,,,,,,1.0
14027,12998,,,,1.0,,1.0,1.0,1.0
14028,12999,1.0,,,,,,1.0,1.0
14029,13000,1.0,,,,,,1.0,1.0
14030,13001,1.0,,,,,,1.0,1.0
14031,13002,,185.000,,,,1.0,,
14032,13003,1.0,,,,,,1.0,1.0
14033,13004,2.0,,,1.0,1.0,,1.0,1.0
14034,13005,1.0,,,1.0,1.0,,1.0,1.0
14035,13006,1.0,,,,,,1.0,1.0
14036,13007,1.0,,,,,,1.0,1.0
14037,13008,1.0,,,,,,1.0,1.0
14038,13009,1.0,,,,,,1.0,1.0
14039,13010,1.0,,,,,,1.0,1.0
14040,13011,1.0,,,,,,1.0,1.0
14041,13012,1.0,,,,,,1.0,1.0
14042,13013,1.0,,,,,,1.0,1.0
14043,13014,1.0,,,1.0,1.0,,1.0,1.0
14044,13015,1.0,,,1.0,1.0,,1.0,1.0
14046,13016,2.0,,,1.0,,,1.0,1.0
14047,13017,1.0,,,,,,1.0,1.0
14049,13018,,,,,,,1.0,1.0
14051,13019,2.0,,,,,,1.0,1.0
14052,13020,,,,,,,1.0,1.0
14053,13021,,,,,,,,1.0
14054,13022,3.0,,65,1.0,,1.0,,1.0
14056,13023,4.0,,105,1.0,,1.0,1.0,1.0
14057,13024,1.0,,,1.0,,,,
14058,13025,,,,,,,,1.0
14059,13026,,,,,,,,1.0
14060,13027,1.0,,,1.0,,,,
14061,13028,,,,1.0,1.0,,,1.0
14062,13029,3.0,,,,,,,
14063,13030,,,,,,,,1.0
14064,13031,,,,,,,,1.0
14066,13032,2.0,,44,1.0,1.0,1.0,1.0,1.0
14067,13033,,,678,,,,1.0,1.0
14068,13034,,,,,,,,
14069,13035,,,,,,,,
14070,13036,,,,1.0,,,,1.0
14071,13037,7.0,,720,,,,1.0,1.0
14073,13038,6.0,,40,1.0,1.0,,1.0,1.0
14074,13039,1.0,,24,,,1.0,,
14075,13040,,,,,,,,1.0
14077,13041,,,,,,1.0,,1.0
14078,13042,,,73,1.0,,,,
14079,13043,,,38,1.0,1.0,,1.0,1.0
14080,13044,,,,1.0,,1.0,1.0,1.0
14081,13045,2.0,,1,,,,,1.0
14082,13046,,,,1.0,,,,1.0
14084,13047,,,,,,,,1.0
14085,13048,2.0,,,,,,,1.0
14087,13049,2.0,,,,,,1.0,1.0
14089,13050,5.0,,262,1.0,1.0,,1.0,1.0
14090,13051,,,690,,,,,1.0
14092,13052,,,,,,,1.0,1.0
14093,13053,,,,1.0,,1.0,,1.0
14095,13054,4.0,,280,,,,1.0,1.0
14097,13055,4.0,,70,1.0,,,1.0,1.0
14098,13056,2.0,,64,,,,1.0,1.0
14099,13057,2.0,,61,,,,1.0,1.0
14101,13058,3.0,,,,,,1.0,1.0
14102,13059,,,,,,,1.0,1.0
14103,13060,1.0,,,,,,,
14104,13061,1.0,,,,,,1.0,1.0
14105,13062,,,,,,1.0,,
14106,13063,,,,1.0,1.0,,1.0,1.0
14108,13064,1.0,,,,,1.0,1.0,1.0
14110,13065,,,11,,,,1.0,1.0
14111,13066,4.0,,,,,,,1.0
14112,13067,,25.000,39,1.0,,,1.0,1.0
14113,13068,1.0,,31,,,1.0,,
14114,13069,,25.000,39,1.0,,,1.0,1.0
14115,13070,,,,,,,,1.0
14116,13071,,25.000,39,1.0,,,1.0,1.0
14117,13072,,25.000,39,1.0,,,1.0,1.0
14119,13073,4.0,25.000,46,1.0,,,1.0,1.0
14120,13074,,25.000,48,1.0,,,1.0,1.0
14121,13075,,25.000,48,1.0,,,1.0,1.0
14122,13076,,25.000,47,1.0,,,1.0,1.0
14123,13077,,25.000,47,1.0,,,1.0,1.0
14125,13078,3.0,,,,,,1.0,1.0
14127,13079,,,,1.0,,,1.0,1.0
14129,13080,,,,1.0,1.0,,,1.0
14131,13081,,,348,,,,1.0,1.0
14133,13082,,,350,1.0,1.0,,1.0,1.0
14135,13083,,,132,1.0,,,1.0,1.0
14137,13084,,,,1.0,,,1.0,1.0
14138,13085,,,,1.0,1.0,,,
14139,13086,1.0,73000,34,1.0,,,,
14141,13087,,250000,286,1.0,,,,1.0
14142,13088,,,,,,,,
14144,13089,4.0,95000,,,,,,1.0
14145,13090,2.0,75000,43,1.0,1.0,,,
14146,13091,2.0,80000,42,1.0,1.0,1.0,1.0,1.0
14147,13092,,,,1.0,,,,1.0
14148,13093,,340000,,,,,1.0,1.0
14149,13094,,300000,500,,,,1.0,1.0
14150,13095,,155000,,,,,1.0,1.0
14151,13096,,90000,,,,,,
14152,13097,,95000,185,1.0,,,1.0,1.0
14153,13098,,1111,680,,,,,1.0
14154,13099,,81500,,,,,1.0,1.0
14155,13100,,300000,,,,1.0,1.0,1.0
14156,13101,,180000,,,,,1.0,1.0
14157,13102,3.0,,,,,,,1.0
14158,13103,,250000,,,,1.0,,1.0
14160,13104,,90000,,,,,,1.0
14161,13105,3.0,,,,,,,1.0
14162,13106,4.0,170000,,1.0,1.0,1.0,,1.0
14163,13107,,138000,353,1.0,,,1.0,1.0
14164,13108,,195000,200,1.0,,,1.0,1.0
14165,13109,,,,,,,1.0,1.0
14166,13110,,,,,,,,1.0
14168,13111,,,46,,,1.0,1.0,1.0
14169,13112,,,,1.0,,,,
14170,13113,,,,,,1.0,,
14171,13114,,,132,,,,,1.0
14172,13115,1.0,,,,,,,1.0
14174,13116,4.0,,,1.0,,,1.0,1.0
14175,13117,,,2070,1.0,,,,1.0
14176,13118,,,678,,,,1.0,1.0
14177,13119,,,,,,,,1.0
14179,13120,,,,,,,,1.0
14181,13121,,,,,,,,1.0
14182,13122,,,150,,,,,
14183,13123,,,,,,1.0,,
14185,13124,,,,,,,1.0,1.0
14186,13125,,,,,,,,
14188,13126,1.0,,34,,,1.0,,1.0
14189,13127,,,,1.0,,,,
14190,13128,3.0,,,1.0,,,,1.0
14191,13129,,,,,,,1.0,1.0
14192,13130,,,,,,,,
14193,13131,,,,1.0,,,,
14194,13132,,,31,,,1.0,,1.0
14195,13133,,,,1.0,,,,
14196,13134,,,,,,,,
14197,13135,,,676,1.0,,,1.0,1.0
14198,13136,,,,,,,1.0,1.0
14199,13137,3.0,,,1.0,1.0,,,
14201,13138,3.0,,,1.0,,,1.0,1.0
14202,13139,2.0,,36,1.0,,,1.0,1.0
14203,13140,2.0,,,1.0,1.0,,1.0,1.0
14204,13141,,,25,,,,1.0,1.0
14205,13142,,,,1.0,,,1.0,1.0
14207,13143,1.0,,,1.0,,1.0,1.0,1.0
14208,13144,,,,,,,,
14209,13145,3.0,,,,,,,1.0
14210,13146,3.0,13000,,1.0,,,1.0,1.0
14211,13147,2.0,,,1.0,,,,
14212,13148,,,,1.0,,,,
14213,13149,2.0,,,,,,,1.0
14214,13150,1.0,,,,,,,
14216,13151,1.0,25.000,43,,,,1.0,1.0
14217,13152,2.0,39000,,,,,1.0,1.0
14218,13153,4.0,,,,,,1.0,1.0
14219,13154,2.0,,,,,,1.0,1.0
14220,13155,3.0,,,1.0,,,1.0,1.0
14222,13156,3.0,,,,,,1.0,1.0
14223,13157,,,420158,,,,,1.0
14224,13158,,,720,1.0,,,1.0,1.0
14225,13159,,,55,1.0,,,,1.0
14226,13160,,,17,1.0,,,1.0,1.0
14227,13161,,,791,,,,,1.0
14228,13162,,,568,,,,,1.0
14229,13163,4.0,,130,,,,,1.0
14231,13164,,,2867,,,,1.0,1.0
14232,13165,,298.000,800,,,,,1.0
14233,13166,,,120,1.0,,,,
14235,13167,2.0,,50,1.0,,,1.0,1.0
14236,13168,3.0,,206,,,,1.0,1.0
14238,13169,,,1000,,,,1.0,1.0
14239,13170,,,340,,,,1.0,1.0
14241,13171,3.0,,100,,,,1.0,1.0
14242,13172,,,615,,,,,
14243,13173,,530.000,425,1.0,,,,1.0
14244,13174,,,326,,,,1.0,1.0
14245,13175,,,92,,,,,1.0
14247,13176,,,66,,,,1.0,1.0
14249,13177,,,1113,1.0,,,1.0,1.0
14250,13178,,,90,,,,1.0,1.0
14251,13179,,,81,,,,1.0,1.0
14252,13180,,,142,,,,1.0,1.0
14253,13181,,,142,,,,1.0,1.0
14255,13182,,,142,,,,1.0,1.0
14256,13183,,,142,,,,1.0,1.0
14257,13184,,,142,,,,1.0,1.0
14258,13185,,,53,,,,1.0,1.0
14259,13186,,,142,,,,1.0,1.0
14261,13187,,,142,,,,1.0,1.0
14263,13188,,,68,,,,1.0,1.0
14265,13189,,,293,,,,1.0,1.0
14267,13190,,,142,,,,1.0,1.0
14269,13191,,,142,,,,1.0,1.0
14270,13192,,,142,,,,1.0,1.0
14272,13193,,,142,,,,1.0,1.0
14273,13194,,,293,,,,1.0,1.0
14275,13195,,,142,,,,1.0,1.0
14277,13196,,,142,,,,1.0,1.0
14279,13197,,,142,,,,1.0,1.0
14281,13198,,,142,,,,1.0,1.0
14283,13199,,,40,,,,1.0,1.0
14284,13200,,,512,1.0,1.0,,,1.0
14285,13201,2.0,,87,1.0,1.0,,1.0,1.0
14286,13202,2.0,,50,1.0,1.0,,1.0,1.0
14287,13203,,,,,,,1.0,1.0
14288,13204,,,1183,,,,1.0,1.0
14289,13205,,,880,,,,,
14290,13206,,,,,,,,1.0
14291,13207,,,1050,,,,1.0,1.0
14293,13208,,,15,,,,1.0,1.0
14294,13209,2.0,,,,,,,
14295,13210,,3.000,75,,,,,1.0
14297,13211,,,120,1.0,1.0,1.0,1.0,1.0
14298,13212,4.0,,92,1.0,,1.0,1.0,1.0
14300,13213,,,52,,,,1.0,1.0
14302,13214,,,76,,,,1.0,1.0
14303,13215,,,400,,,,,1.0
14304,13216,,,535,,,,,
14305,13217,,,672,,,,,
14306,13218,2.0,,43,,,,,
14307,13219,,,,,,,,1.0
14308,13220,,,,,,,1.0,1.0
14309,13221,,,,,,,,1.0
14310,13222,,,,,,,,1.0
14311,13223,,,,,,,,
14313,13224,,,,1.0,,,1.0,1.0
14315,13225,,,,,,,1.0,1.0
14317,13226,,,,,,,1.0,1.0
14318,13227,,,,,,1.0,,
14319,13228,,,133,,,,,1.0
14320,13229,,,,,,,,
14321,13230,3.0,,,,,,1.0,1.0
14322,13231,3.0,,,,,,,1.0
14323,13232,2.0,,,,,,,
14325,13233,3.0,,,1.0,1.0,,1.0,1.0
14326,13234,3.0,,76,1.0,,,1.0,1.0
14327,13235,2.0,,,,,1.0,,1.0
14328,13236,,,180,1.0,,,,1.0
14329,13237,,,,1.0,1.0,,,
14330,13238,3.0,,,,,1.0,,1.0
14331,13239,,,150,1.0,,,1.0,1.0
14332,13240,5.0,,20,,,,,
14333,13241,,,,1.0,1.0,,,
14334,13242,,,,,,1.0,,
14335,13243,,,,,,,,1.0
14336,13244,3.0,,,,,,,
14337,13245,3.0,,170,1.0,1.0,,1.0,1.0
14338,13246,3.0,,,,,,1.0,1.0
14339,13247,,,,,,1.0,,1.0
14340,13248,,20.000,,,,,1.0,1.0
14341,13249,2.0,,,,,,,
14343,13250,,,,1.0,,,1.0,1.0
14344,13251,,,,,,,,1.0
14345,13252,,,,,,,,1.0
14346,13253,3.0,,,1.0,,,1.0,1.0
14347,13254,4.0,,,,,,,1.0
14348,13255,3.0,,,1.0,,1.0,,1.0
14349,13256,,,353,,,,,1.0
14351,13257,,,1500,,,,1.0,1.0
14352,13258,4.0,,200,1.0,,,1.0,1.0
14353,13259,,,,,,,1.0,1.0
14354,13260,,,,1.0,,1.0,,1.0
14355,13261,,,103,1.0,,,1.0,1.0
14356,13262,,,,,,,1.0,1.0
14358,13263,2.0,25.000,4,,,1.0,1.0,1.0
14359,13264,,,,1.0,,,1.0,1.0
14360,13265,,,450,,,,,1.0
14361,13266,4.0,,120,,,1.0,,1.0
14362,13267,,,,,,,,
14363,13268,,,,,,,,
14364,13269,,,,,,,,
14365,13270,,,,,,,,
14366,13271,,,,,,,,
14367,13272,,,,,,,,
14368,13273,,,,,,,,
14369,13274,,,,,,,,
14370,13275,,,,,,,,
14371,13276,3.0,,62,,,1.0,,1.0
14372,13277,,,44,1.0,1.0,,1.0,1.0
14373,13278,,,700,,,,,1.0
14374,13279,,,,1.0,,,,1.0
14375,13280,4.0,,,,,,1.0,1.0
14376,13281,2.0,,,,,1.0,1.0,1.0
14377,13282,1.0,,22,,,,,
14378,13283,4.0,,,1.0,1.0,,1.0,1.0
14379,13284,4.0,,,1.0,1.0,,1.0,1.0
14380,13285,3.0,,,1.0,1.0,,1.0,1.0
14381,13286,,68.000,,1.0,,,,
14382,13287,,,,,,,,
14383,13288,,,1361,,,,,1.0
14384,13289,,,,,,,,
14385,13290,,,,1.0,,,1.0,1.0
14386,13291,,,,1.0,1.0,,1.0,1.0
14387,13292,2.0,,,1.0,,,,
14388,13293,2.0,,,,,1.0,,
14389,13294,2.0,,,1.0,,1.0,,
14390,13295,,90.000,87,,,,1.0,1.0
14391,13296,,,,,,,1.0,1.0
14392,13297,,,,,,,1.0,1.0
14393,13298,2.0,,,1.0,,,,1.0
14394,13299,,,,,,,,
14395,13300,,,,,,,,
14396,13301,2.0,,,,,,,
14397,13302,4.0,,,1.0,,,1.0,1.0
14398,13303,3.0,,,,,1.0,,
14399,13304,,,1400,,,,,1.0
14400,13305,,,,,,,,
14401,13306,3.0,,,,,,1.0,1.0
14402,13307,4.0,,,1.0,,,,
14403,13308,4.0,,,1.0,,,,1.0
14404,13309,,,800,,,,,1.0
14405,13310,,,450,,,,,1.0
14406,13311,3.0,,,1.0,1.0,,1.0,1.0
14407,13312,,,,,,1.0,,
14408,13313,,,600,,,,,1.0
14409,13314,,,52,1.0,,,,1.0
14410,13315,2.0,,,1.0,,1.0,,1.0
14411,13316,1.0,,,,,,1.0,1.0
14412,13317,,,,1.0,,1.0,,1.0
14413,13318,,,,1.0,,1.0,,1.0
14414,13319,,,,,,,1.0,1.0
14416,13320,4.0,,211,,,,1.0,1.0
14417,13321,,,,,,,,1.0
14418,13322,4.0,,130,,,,1.0,1.0
14419,13323,,,,,,,1.0,1.0
14420,13324,3.0,,,1.0,,1.0,,1.0
14421,13325,,,,,,,1.0,1.0
14422,13326,,,,,,,1.0,1.0
14423,13327,,,115,,,1.0,1.0,1.0
14424,13328,4.0,,100,1.0,,1.0,,
14425,13329,3.0,199.900,,,,1.0,,1.0
14426,13330,,,115,,,1.0,1.0,1.0
14427,13331,,,,,,,,
14428,13332,,,000,,,,1.0,1.0
14429,13333,,,,,,,,
14430,13334,,,,,,,,
14431,13335,,,,,,,,
14432,13336,,,,,,,,1.0
14433,13337,,,,,,,,1.0
14434,13338,,,4,,,,,1.0
14435,13339,,,,,,1.0,,
14436,13340,,,,1.0,,,,
14438,13341,,,15,,,,1.0,1.0
14439,13342,3.0,,,1.0,,1.0,1.0,1.0
14440,13343,,,17,,,1.0,,1.0
14442,13344,2.0,,,,,,1.0,1.0
14443,13345,,,,,,1.0,,1.0
14444,13346,,2000,,1.0,,,1.0,1.0
14445,13347,1.0,,,1.0,,1.0,,1.0
14446,13348,,,,,,,,
14447,13349,3.0,,,1.0,,1.0,,1.0
14448,13350,3.0,,,1.0,,1.0,,1.0
14449,13351,,,,,,,,1.0
14451,13352,2.0,,,1.0,,,,1.0
14452,13353,,,,,,,,1.0
14454,13354,2.0,,,1.0,1.0,,,1.0
14455,13355,,15.000,,,,,1.0,1.0
14456,13356,,,,1.0,,1.0,,
14457,13357,,,550,,,,1.0,1.0
14458,13358,,,,1.0,,1.0,,
14459,13359,,85000,,,,,,1.0
14460,13360,6.0,220000,,,,,,1.0
14461,13361,2.0,63000,,1.0,1.0,,,
14462,13362,,70000,,,,,,
14463,13363,2.0,63000,,,,1.0,1.0,1.0
14464,13364,4.0,300000,245,,,,1.0,1.0
14465,13365,,230000,090,1.0,,,1.0,1.0
14467,13366,,,,1.0,,,,1.0
14469,13367,,,,,,,,1.0
14470,13368,,150000,346,1.0,,,,1.0
14471,13369,2.0,55000,,,,,,
14472,13370,,175000,231,1.0,,,,1.0
14474,13371,4.0,120000,,,,,1.0,1.0
14475,13372,3.0,55000,,1.0,,,,
14476,13373,2.0,75000,,1.0,,1.0,,
14477,13374,,,401,,,,1.0,1.0
14478,13375,,500000,,,,,,
14480,13376,,,,,,,,1.0
14481,13377,3.0,,45,,,,,
14482,13378,1.0,,,,,,,
14483,13379,1.0,,5,,,,,
14484,13380,,,,,,,,
14485,13381,,,,,,,1.0,1.0
14486,13382,,,,,,,,
14487,13383,,,,1.0,,,1.0,1.0
14488,13384,,,450,,,,1.0,1.0
14489,13385,,,40,1.0,,,1.0,1.0
14490,13386,,,,,,,,
14491,13387,,,,,,,,
14492,13388,,,,1.0,1.0,,,
14493,13389,3.0,,67,,,1.0,1.0,1.0
14494,13390,,,395,1.0,,,1.0,1.0
14495,13391,,350000,,1.0,,1.0,,1.0
14496,13392,5.0,259000,,,,,1.0,1.0
14497,13393,,280000,,,,,,1.0
14498,13394,,240000,2200,,,,,1.0
14499,13395,,200000,936,1.0,,,,
14500,13396,,185000,630,,,,1.0,1.0
14501,13397,1.0,59000,,,,,,
14502,13398,,,,1.0,1.0,,1.0,1.0
14503,13399,,90000,,,,,,
14505,13400,,,,,,,,1.0
14506,13401,,,4472,,,,1.0,1.0
14507,13402,,,43,1.0,,,,1.0
14508,13403,,,162,,,,1.0,1.0
14509,13404,,,,,,1.0,1.0,1.0
14510,13405,,,,,,,,
14511,13406,,,2,1.0,,,,1.0
14512,13407,7.0,,1200,,,,,1.0
14513,13408,,,400,,,,1.0,1.0
14514,13409,,,,,,,1.0,1.0
14515,13410,,,400,,,,1.0,1.0
14516,13411,1.0,,,,,,1.0,1.0
14517,13412,,,,1.0,,,,
14518,13413,,,,1.0,,,1.0,1.0
14520,13414,,,17,,,,,1.0
14521,13415,,,,,,,,1.0
14522,13416,2.0,13000,,1.0,,,1.0,1.0
14523,13417,,,1294,,,,1.0,1.0
14524,13418,2.0,,,,,,1.0,1.0
14526,13419,2.0,,43,,,,1.0,1.0
14527,13420,,,,1.0,,,1.0,1.0
14529,13421,,,,1.0,,,1.0,1.0
14530,13422,,,,,,1.0,1.0,1.0
14531,13423,4.0,,,,,1.0,,
14532,13424,,,,1.0,,,,1.0
14533,13425,,,,,,,,
14534,13426,,,,1.0,,,1.0,1.0
14535,13427,,,,,,,,1.0
14536,13428,,,,,,,,
14537,13429,3.0,,,,,,1.0,1.0
14538,13430,,22000,,,,,1.0,1.0
14539,13431,3.0,,61,,,,,1.0
14540,13432,5.0,,1044,,,1.0,,1.0
14541,13433,,,268,1.0,,1.0,1.0,1.0
14542,13434,3.0,,,1.0,,,,1.0
14543,13435,,,,1.0,,,,
14544,13436,,,80,1.0,,1.0,,
14545,13437,,,132,1.0,,1.0,,1.0
14547,13438,4.0,,,1.0,1.0,,1.0,1.0
14548,13439,,,180,,,,,1.0
14550,13440,,,,,,,1.0,1.0
14551,13441,,,12,,,1.0,,
14552,13442,,,,,,1.0,1.0,1.0
14553,13443,,,,,,,1.0,1.0
14554,13444,1.0,,,,,,1.0,1.0
14555,13445,1.0,,,,,,1.0,1.0
14556,13446,,,70,1.0,,,1.0,1.0
14557,13447,1.0,,,1.0,,,,1.0
14558,13448,,,,,,,,
14559,13449,,,,,,,1.0,1.0
14561,13450,4.0,,,1.0,,1.0,1.0,1.0
14562,13451,3.0,,,1.0,,,1.0,1.0
14564,13452,2.0,,70,,,,1.0,1.0
14565,13453,,,,,,,,
14566,13454,,,267,,,,,
14567,13455,,,,,,,,
14568,13456,2.0,,53,1.0,1.0,,,1.0
14569,13457,1.0,,17,,,,,
14570,13458,3.0,95.000,,,,,,
14571,13459,,,93,,,,1.0,1.0
14572,13460,,,93,,,,1.0,1.0
14574,13461,2.0,,,1.0,,,1.0,1.0
14576,13462,,,,,,,,1.0
14577,13463,,110.000,48,,,1.0,,1.0
14579,13464,,135.000,63,1.0,,1.0,,1.0
14580,13465,,,,,,,,1.0
14582,13466,,,,1.0,,,1.0,1.0
14583,13467,,,,,,,,1.0
14584,13468,4.0,297.000,114,1.0,,,1.0,1.0
14585,13469,,,,,,,,1.0
14586,13470,,,,,,,,1.0
14587,13471,,,,,,,1.0,1.0
14588,13472,,,,,,,1.0,1.0
14589,13473,3.0,,,,,,1.0,1.0
14590,13474,3.0,,,,,,,
14591,13475,,,93,,,,1.0,1.0
14592,13476,,,107,,,,1.0,1.0
14593,13477,,,,,,,1.0,1.0
14594,13478,,,,1.0,,,1.0,1.0
14595,13479,,,,,,,,1.0
14596,13480,,,400,,,,1.0,1.0
14597,13481,,,400,,,,1.0,1.0
14598,13482,,,,,,,,
14599,13483,4.0,170000,,,,,1.0,1.0
14600,13484,85.0,134085,01,,,,1.0,1.0
14601,13485,,,175,,,,1.0,1.0
14602,13486,,,600,,,,,1.0
14603,13487,,,,,,,1.0,1.0
14604,13488,,,,,,,1.0,1.0
14605,13489,,,,,,,1.0,1.0
14606,13490,,,,,,,,1.0
14607,13491,5.0,,,1.0,,,,1.0
14608,13492,5.0,,,1.0,,,,1.0
14609,13493,,,,,,,1.0,1.0
14611,13494,,,,,,,1.0,1.0
14612,13495,4.0,,358,,,1.0,,1.0
14613,13496,,,5000,1.0,,,,
14614,13497,,,,1.0,,,1.0,1.0
14615,13498,,,,1.0,1.0,,1.0,1.0
14617,13499,,,,,,,1.0,1.0
14618,13500,,,,1.0,,1.0,1.0,1.0
14619,13501,28.0,,,,,1.0,,
14621,13502,3.0,,,,,1.0,1.0,1.0
14622,13503,3.0,,,,,1.0,,1.0
14623,13504,1.0,,,1.0,,1.0,,1.0
14624,13505,,,29,,,,,
14625,13506,,,,,,,1.0,1.0
14626,13507,1.0,,,1.0,,1.0,,1.0
14627,13508,,,264,,,,1.0,1.0
14628,13509,,,,1.0,,1.0,,1.0
14630,13510,,,,,,,1.0,1.0
14632,13511,,,,,,1.0,,1.0
14633,13512,4.0,,,,,,,1.0
14634,13513,,,458,,,,,
14635,13514,3.0,,50,,,,,
14636,13515,1.0,,,,,,1.0,1.0
14637,13516,,,361,,,1.0,,1.0
14638,13517,,,377,,,,1.0,1.0
14639,13518,1.0,,,1.0,,,,
14640,13519,1.0,,,1.0,,,,
14641,13520,,,4,1.0,,,,1.0
14642,13521,1.0,,,1.0,,,,
14644,13522,,,,,,1.0,1.0,1.0
14645,13523,4.0,,,,,,,
14646,13524,,,,,,,,1.0
14647,13525,4.0,515.000,343,,,,1.0,1.0
14648,13526,3.0,,,1.0,,,,1.0
14649,13527,,155000,,,,1.0,1.0,1.0
14650,13528,,2500000,,1.0,,,1.0,1.0
14651,13529,,,,,,,,1.0
14652,13530,,,,1.0,,,1.0,1.0
14653,13531,,,300,,,,,
14654,13532,,480000,1260,1.0,1.0,,,1.0
14655,13533,,,,,,,,1.0
14656,13534,3.0,105000,62,1.0,1.0,1.0,1.0,1.0
14657,13535,2.0,72000,40,1.0,,,,
14658,13536,,100000,,,,,,
14659,13537,3.0,130000,450,,,,,
14660,13538,3.0,156000,57,1.0,,,,1.0
14661,13539,,,,,,,,
14662,13540,1.0,43000,42,,,,,
14663,13541,3.0,92500,,1.0,,,,1.0
14664,13542,3.0,130000,,,,,,1.0
14665,13543,,,,,,,,1.0
14666,13544,,85000,40,,,1.0,1.0,1.0
14667,13545,,65000,50,1.0,1.0,,,
14668,13546,,,,,,,,
14669,13547,,,,,,,1.0,1.0
14670,13548,2.0,79.900,50,1.0,1.0,,,
14671,13549,1.0,,,,,,,
14672,13550,2.0,,,,,,,
14674,13551,4.0,,145,1.0,1.0,,1.0,1.0
14676,13552,,,,,,,,1.0
14677,13553,2.0,,,,,,,
14678,13554,3.0,110.000,,,,,,
14679,13555,,,,,,,1.0,1.0
14680,13556,2.0,,50,1.0,1.0,,,
14681,13557,,,5,,,,,
14682,13558,,,,,,,,
14683,13559,2.0,79.900,50,1.0,1.0,,,
14684,13560,1.0,,,1.0,1.0,1.0,,
14685,13561,,54.900,5,,,,,
14686,13562,,,,,,,,
14687,13563,3.0,,85,,,,,
14688,13564,,,,,,,1.0,1.0
14689,13565,,,,1.0,,,,
14690,13566,3.0,,,,,,1.0,1.0
14691,13567,,,,,,,1.0,1.0
14692,13568,,,,,,,,
14693,13569,,,,,,,1.0,1.0
